NOUN,VERB,ADJ,ADV,generated,PERSON,ORGANIZATION,GPE,LOCATION,GSP,FACILITY
223,110,52,20,0,5.0,3.0,9.0,0.0,0.0,0.0
167,134,64,55,0,1.0,4.0,5.0,0.0,0.0,0.0
151,73,75,22,0,5.0,5.0,2.0,0.0,0.0,0.0
222,137,80,52,0,5.0,9.0,7.0,0.0,0.0,0.0
142,133,45,57,0,5.0,1.0,8.0,0.0,0.0,0.0
169,83,45,33,0,5.0,1.0,7.0,1.0,0.0,0.0
151,105,25,18,0,2.0,0.0,0.0,0.0,0.0,0.0
295,142,83,34,0,11.0,2.0,11.0,0.0,0.0,0.0
202,149,64,63,0,1.0,3.0,1.0,0.0,0.0,0.0
99,98,25,46,0,1.0,0.0,0.0,0.0,0.0,0.0
144,90,50,25,0,3.0,2.0,3.0,0.0,0.0,0.0
255,143,101,45,0,3.0,3.0,5.0,0.0,0.0,0.0
90,94,39,31,0,0.0,0.0,2.0,0.0,0.0,0.0
137,101,29,33,0,2.0,0.0,10.0,0.0,0.0,0.0
185,128,36,31,0,5.0,1.0,8.0,0.0,0.0,0.0
196,113,52,21,0,5.0,1.0,16.0,0.0,0.0,0.0
96,73,24,8,0,0.0,0.0,3.0,0.0,0.0,0.0
379,207,74,47,0,12.0,3.0,13.0,0.0,0.0,0.0
93,84,25,16,0,0.0,2.0,2.0,0.0,1.0,0.0
208,161,54,68,0,3.0,2.0,10.0,0.0,0.0,0.0
117,76,43,35,0,1.0,1.0,5.0,0.0,0.0,0.0
172,114,44,38,0,2.0,4.0,12.0,0.0,0.0,0.0
124,70,42,28,0,3.0,2.0,2.0,0.0,0.0,0.0
151,86,38,23,0,5.0,3.0,4.0,0.0,1.0,0.0
166,97,65,43,0,2.0,0.0,2.0,0.0,0.0,0.0
123,94,31,30,0,4.0,0.0,5.0,0.0,0.0,0.0
158,87,55,24,0,1.0,0.0,8.0,0.0,0.0,0.0
227,168,68,42,0,7.0,1.0,3.0,1.0,0.0,0.0
179,141,48,39,0,4.0,0.0,8.0,0.0,0.0,0.0
99,79,33,23,0,2.0,1.0,3.0,0.0,0.0,0.0
164,116,54,26,0,5.0,4.0,3.0,0.0,0.0,0.0
86,56,32,23,0,6.0,0.0,3.0,0.0,0.0,0.0
144,79,65,22,0,3.0,1.0,3.0,0.0,0.0,0.0
146,146,51,40,0,3.0,3.0,1.0,0.0,0.0,0.0
227,135,52,37,0,0.0,6.0,2.0,0.0,0.0,0.0
275,190,125,78,0,6.0,8.0,4.0,0.0,0.0,0.0
316,207,75,84,0,10.0,1.0,15.0,0.0,0.0,0.0
234,133,56,36,0,8.0,0.0,11.0,0.0,0.0,0.0
260,116,73,49,0,7.0,1.0,9.0,0.0,0.0,0.0
146,91,32,32,0,7.0,0.0,7.0,0.0,0.0,0.0
194,103,57,36,0,5.0,2.0,2.0,0.0,0.0,0.0
133,97,45,39,0,3.0,4.0,5.0,0.0,0.0,0.0
169,87,50,18,0,3.0,0.0,10.0,0.0,0.0,0.0
135,79,48,24,0,4.0,1.0,8.0,0.0,0.0,0.0
214,113,53,25,0,14.0,7.0,4.0,0.0,0.0,0.0
102,126,28,39,0,4.0,1.0,3.0,0.0,0.0,0.0
272,153,63,45,0,15.0,2.0,12.0,0.0,0.0,0.0
241,135,63,27,0,10.0,5.0,12.0,0.0,0.0,0.0
112,83,32,27,0,2.0,3.0,2.0,0.0,0.0,0.0
128,96,41,32,0,0.0,3.0,1.0,0.0,0.0,0.0
124,55,28,19,0,4.0,0.0,8.0,0.0,0.0,0.0
204,135,64,37,0,5.0,2.0,4.0,0.0,1.0,0.0
105,58,38,23,0,1.0,2.0,1.0,0.0,0.0,0.0
206,120,44,35,0,6.0,5.0,5.0,0.0,0.0,0.0
146,83,45,39,0,1.0,1.0,3.0,0.0,1.0,0.0
128,87,26,22,0,1.0,3.0,2.0,0.0,0.0,0.0
102,73,53,24,0,0.0,2.0,0.0,0.0,0.0,0.0
265,138,53,47,0,4.0,6.0,8.0,0.0,0.0,0.0
99,78,34,42,0,2.0,0.0,4.0,0.0,0.0,0.0
175,68,55,32,0,0.0,0.0,6.0,0.0,0.0,0.0
181,121,45,36,0,1.0,1.0,8.0,0.0,0.0,0.0
344,207,109,66,0,3.0,4.0,13.0,0.0,0.0,0.0
107,66,55,28,0,2.0,1.0,1.0,0.0,0.0,0.0
168,105,49,28,0,6.0,5.0,4.0,0.0,0.0,0.0
161,104,66,23,0,3.0,1.0,3.0,0.0,0.0,0.0
155,100,44,27,0,2.0,5.0,3.0,0.0,0.0,0.0
366,223,106,71,0,4.0,4.0,7.0,0.0,1.0,0.0
116,102,28,28,0,0.0,0.0,1.0,0.0,0.0,0.0
122,107,44,42,0,1.0,0.0,1.0,0.0,0.0,0.0
89,66,20,25,0,1.0,3.0,0.0,0.0,0.0,0.0
91,70,49,22,0,1.0,2.0,4.0,0.0,0.0,0.0
127,85,39,25,0,3.0,0.0,5.0,0.0,0.0,0.0
170,116,37,42,0,6.0,6.0,5.0,0.0,0.0,0.0
148,131,44,42,0,2.0,3.0,13.0,0.0,0.0,0.0
101,64,27,28,0,3.0,4.0,1.0,0.0,0.0,0.0
117,85,26,18,0,3.0,0.0,4.0,0.0,0.0,0.0
220,121,64,29,0,9.0,1.0,13.0,0.0,0.0,0.0
103,86,35,29,0,4.0,2.0,2.0,0.0,0.0,0.0
133,83,36,20,0,4.0,6.0,6.0,0.0,0.0,0.0
126,88,30,26,0,1.0,3.0,1.0,0.0,0.0,0.0
93,66,26,15,0,2.0,3.0,3.0,0.0,0.0,0.0
83,56,27,18,0,1.0,1.0,1.0,0.0,0.0,0.0
220,163,59,53,0,2.0,4.0,7.0,0.0,0.0,0.0
125,107,39,41,0,1.0,0.0,0.0,0.0,0.0,0.0
129,99,48,38,0,1.0,3.0,3.0,0.0,0.0,0.0
130,113,41,30,0,2.0,3.0,4.0,0.0,0.0,0.0
129,112,43,40,0,2.0,1.0,3.0,0.0,0.0,0.0
145,78,35,24,0,4.0,1.0,5.0,0.0,0.0,0.0
159,107,54,37,0,0.0,1.0,3.0,1.0,0.0,0.0
167,126,39,28,0,3.0,0.0,8.0,0.0,0.0,0.0
63,67,29,14,0,0.0,0.0,1.0,0.0,0.0,0.0
258,155,75,39,0,17.0,3.0,12.0,0.0,0.0,0.0
144,88,31,26,0,5.0,1.0,3.0,0.0,0.0,0.0
163,104,39,38,0,3.0,0.0,8.0,0.0,0.0,0.0
117,97,47,40,0,3.0,0.0,2.0,0.0,0.0,0.0
158,81,48,14,0,6.0,4.0,4.0,0.0,0.0,0.0
170,123,47,50,0,6.0,0.0,8.0,0.0,0.0,0.0
220,114,54,24,0,7.0,3.0,8.0,0.0,0.0,0.0
173,177,57,64,0,0.0,2.0,1.0,0.0,0.0,0.0
99,62,37,23,0,4.0,0.0,2.0,0.0,0.0,0.0
126,106,40,39,0,5.0,0.0,5.0,0.0,0.0,0.0
188,110,70,42,0,0.0,0.0,0.0,0.0,0.0,0.0
111,83,23,38,0,2.0,0.0,1.0,0.0,0.0,0.0
141,93,39,24,0,5.0,1.0,7.0,0.0,0.0,0.0
128,128,44,42,0,1.0,4.0,3.0,0.0,0.0,0.0
204,129,42,33,0,6.0,0.0,9.0,0.0,0.0,0.0
219,119,43,27,0,16.0,1.0,9.0,0.0,0.0,0.0
247,155,51,27,0,8.0,1.0,7.0,0.0,0.0,0.0
118,84,31,34,0,0.0,0.0,0.0,0.0,0.0,0.0
117,72,32,17,0,4.0,0.0,5.0,0.0,0.0,0.0
188,90,42,24,0,10.0,1.0,9.0,0.0,0.0,0.0
168,89,59,41,0,5.0,7.0,4.0,0.0,0.0,0.0
148,91,39,28,0,5.0,2.0,5.0,0.0,0.0,0.0
139,105,48,28,0,3.0,2.0,3.0,0.0,0.0,0.0
140,90,35,35,0,0.0,1.0,8.0,0.0,0.0,0.0
126,82,41,28,0,2.0,2.0,5.0,0.0,0.0,0.0
133,87,47,29,0,2.0,2.0,0.0,0.0,0.0,0.0
152,76,31,25,0,2.0,1.0,8.0,0.0,0.0,0.0
124,68,25,22,0,5.0,4.0,5.0,0.0,0.0,0.0
154,123,41,27,0,4.0,7.0,3.0,0.0,0.0,0.0
158,104,50,27,0,2.0,1.0,5.0,0.0,0.0,0.0
203,148,64,31,0,4.0,3.0,3.0,0.0,0.0,0.0
99,77,41,21,0,1.0,0.0,2.0,0.0,0.0,0.0
140,108,48,35,0,2.0,2.0,3.0,0.0,0.0,0.0
164,102,73,31,0,6.0,3.0,7.0,0.0,0.0,0.0
91,92,35,40,0,2.0,2.0,5.0,0.0,0.0,0.0
138,103,54,49,0,3.0,0.0,2.0,0.0,0.0,0.0
104,95,30,35,0,0.0,4.0,1.0,0.0,0.0,0.0
117,78,44,18,0,1.0,3.0,2.0,0.0,0.0,0.0
166,123,64,46,0,1.0,1.0,6.0,0.0,0.0,0.0
139,90,31,34,0,3.0,1.0,8.0,0.0,0.0,0.0
194,131,69,44,0,3.0,6.0,3.0,0.0,0.0,0.0
123,64,35,24,0,2.0,1.0,0.0,0.0,0.0,0.0
220,130,71,42,0,10.0,1.0,10.0,0.0,1.0,0.0
198,114,56,27,0,2.0,7.0,4.0,0.0,0.0,0.0
106,100,27,22,0,4.0,2.0,0.0,0.0,0.0,0.0
137,108,29,37,0,1.0,1.0,0.0,0.0,0.0,0.0
168,126,44,47,0,6.0,7.0,1.0,0.0,0.0,0.0
93,42,30,18,0,2.0,1.0,4.0,0.0,0.0,0.0
227,144,60,31,0,5.0,0.0,8.0,0.0,0.0,0.0
98,54,18,14,0,0.0,2.0,3.0,0.0,0.0,0.0
82,67,26,31,0,0.0,4.0,1.0,0.0,0.0,0.0
221,135,51,37,0,13.0,2.0,13.0,0.0,0.0,0.0
98,93,52,27,0,0.0,0.0,3.0,0.0,0.0,0.0
315,265,93,116,0,7.0,1.0,11.0,0.0,0.0,0.0
122,71,43,31,0,5.0,2.0,1.0,0.0,0.0,0.0
104,68,29,26,0,2.0,2.0,1.0,0.0,0.0,0.0
115,110,36,29,0,3.0,0.0,1.0,0.0,0.0,0.0
128,79,27,36,0,3.0,3.0,5.0,0.0,0.0,0.0
163,103,38,28,0,9.0,8.0,4.0,0.0,0.0,0.0
216,121,110,38,0,5.0,5.0,1.0,0.0,0.0,0.0
170,102,63,30,0,2.0,1.0,2.0,0.0,0.0,0.0
171,131,52,30,0,1.0,0.0,2.0,0.0,0.0,0.0
188,160,47,49,0,4.0,1.0,2.0,0.0,0.0,0.0
124,82,42,30,0,5.0,3.0,3.0,0.0,1.0,0.0
117,88,25,42,0,3.0,0.0,3.0,0.0,0.0,0.0
153,70,57,18,0,1.0,2.0,0.0,0.0,0.0,0.0
221,143,75,50,0,3.0,2.0,1.0,0.0,0.0,0.0
132,78,35,23,0,3.0,0.0,10.0,0.0,0.0,0.0
194,80,42,21,0,11.0,8.0,4.0,0.0,0.0,0.0
100,70,26,30,0,0.0,2.0,0.0,0.0,0.0,0.0
133,107,52,35,0,3.0,4.0,0.0,0.0,0.0,0.0
105,63,21,20,0,4.0,3.0,1.0,0.0,0.0,0.0
61,63,22,30,0,2.0,0.0,0.0,0.0,0.0,0.0
134,76,53,27,0,2.0,1.0,3.0,0.0,0.0,0.0
121,64,29,19,0,3.0,7.0,2.0,0.0,0.0,0.0
139,126,35,45,0,2.0,0.0,2.0,0.0,0.0,0.0
133,89,29,41,0,2.0,1.0,3.0,0.0,1.0,0.0
181,114,48,45,0,3.0,2.0,5.0,0.0,0.0,0.0
140,115,48,54,0,4.0,0.0,5.0,0.0,0.0,0.0
118,92,30,31,0,0.0,1.0,6.0,0.0,0.0,0.0
173,156,53,55,0,2.0,2.0,3.0,0.0,0.0,0.0
102,69,29,26,0,0.0,0.0,1.0,0.0,0.0,0.0
101,76,34,19,0,0.0,0.0,4.0,0.0,0.0,0.0
123,100,30,30,0,1.0,1.0,2.0,0.0,0.0,0.0
213,140,60,34,0,3.0,2.0,13.0,0.0,0.0,0.0
143,92,31,30,0,6.0,2.0,3.0,0.0,0.0,0.0
92,74,30,28,0,0.0,2.0,1.0,0.0,0.0,0.0
78,72,24,26,0,2.0,3.0,3.0,0.0,0.0,0.0
127,102,48,31,0,5.0,5.0,2.0,0.0,0.0,0.0
120,106,33,29,0,0.0,0.0,0.0,0.0,0.0,0.0
171,107,62,40,0,4.0,5.0,5.0,0.0,0.0,0.0
185,121,44,48,0,5.0,0.0,1.0,0.0,0.0,0.0
118,98,35,31,0,2.0,7.0,4.0,0.0,0.0,0.0
95,50,36,24,0,4.0,2.0,2.0,0.0,0.0,0.0
173,91,51,21,0,10.0,0.0,6.0,0.0,0.0,0.0
180,173,63,46,0,2.0,0.0,3.0,0.0,0.0,0.0
207,110,42,26,0,4.0,0.0,11.0,0.0,0.0,0.0
262,157,72,43,0,11.0,1.0,9.0,0.0,0.0,0.0
243,145,64,46,0,7.0,2.0,8.0,0.0,1.0,0.0
124,96,60,27,0,3.0,1.0,1.0,0.0,0.0,0.0
105,77,29,29,0,2.0,2.0,2.0,0.0,0.0,0.0
86,98,34,43,0,1.0,0.0,4.0,0.0,0.0,0.0
221,156,59,36,0,5.0,0.0,6.0,0.0,0.0,0.0
175,136,59,60,0,2.0,1.0,0.0,0.0,0.0,0.0
134,62,38,14,0,4.0,0.0,3.0,0.0,0.0,0.0
123,98,37,25,0,1.0,4.0,2.0,0.0,0.0,0.0
148,80,36,18,0,6.0,0.0,3.0,0.0,1.0,0.0
102,82,33,20,0,1.0,0.0,3.0,0.0,0.0,0.0
174,123,55,38,0,3.0,2.0,5.0,0.0,0.0,0.0
205,135,52,37,0,2.0,0.0,4.0,0.0,0.0,0.0
160,86,41,30,0,4.0,0.0,9.0,0.0,0.0,0.0
235,122,85,20,0,3.0,0.0,3.0,0.0,0.0,0.0
136,107,34,19,0,1.0,0.0,6.0,0.0,0.0,0.0
112,104,32,24,0,1.0,0.0,3.0,0.0,0.0,0.0
84,58,26,29,0,4.0,0.0,2.0,0.0,0.0,0.0
146,100,24,37,0,5.0,1.0,9.0,0.0,0.0,0.0
171,87,61,30,0,8.0,1.0,8.0,0.0,0.0,0.0
88,77,24,32,0,3.0,4.0,1.0,0.0,0.0,0.0
117,78,38,14,0,3.0,3.0,1.0,0.0,0.0,0.0
173,121,50,33,0,3.0,8.0,4.0,0.0,1.0,0.0
97,71,21,26,0,1.0,3.0,2.0,1.0,0.0,0.0
255,146,85,56,0,11.0,4.0,15.0,0.0,1.0,0.0
150,111,54,39,0,5.0,5.0,3.0,0.0,0.0,0.0
138,130,38,42,0,2.0,1.0,2.0,0.0,0.0,0.0
103,62,34,21,0,6.0,8.0,1.0,0.0,0.0,0.0
127,128,48,62,0,1.0,1.0,1.0,0.0,0.0,0.0
130,77,37,26,0,3.0,2.0,2.0,0.0,0.0,0.0
94,62,36,20,0,1.0,1.0,4.0,0.0,0.0,0.0
132,90,48,30,0,7.0,1.0,3.0,0.0,0.0,0.0
131,105,39,19,0,4.0,0.0,3.0,0.0,0.0,0.0
150,91,42,29,0,3.0,2.0,1.0,0.0,0.0,0.0
182,111,55,45,0,2.0,3.0,4.0,0.0,1.0,0.0
155,114,42,32,0,5.0,0.0,4.0,0.0,0.0,0.0
262,132,70,37,0,6.0,3.0,9.0,0.0,0.0,0.0
132,103,37,29,0,4.0,3.0,2.0,0.0,0.0,0.0
149,79,42,23,0,5.0,5.0,2.0,0.0,0.0,0.0
100,69,41,28,0,2.0,1.0,3.0,0.0,0.0,0.0
100,77,27,33,0,6.0,3.0,3.0,0.0,0.0,0.0
102,85,43,31,0,1.0,0.0,2.0,0.0,0.0,0.0
80,47,34,14,0,1.0,0.0,0.0,0.0,0.0,0.0
134,89,34,35,0,4.0,1.0,2.0,0.0,0.0,0.0
180,98,36,23,0,4.0,2.0,3.0,0.0,0.0,0.0
122,98,39,25,0,0.0,0.0,5.0,0.0,0.0,0.0
152,96,56,45,0,6.0,5.0,4.0,0.0,0.0,0.0
166,145,47,39,0,3.0,1.0,1.0,0.0,0.0,0.0
106,80,25,21,0,3.0,0.0,3.0,0.0,0.0,0.0
97,80,31,25,0,3.0,0.0,1.0,0.0,0.0,0.0
93,56,41,16,0,1.0,0.0,0.0,0.0,0.0,0.0
147,112,41,28,0,5.0,6.0,3.0,0.0,0.0,0.0
155,93,33,24,0,4.0,0.0,2.0,0.0,0.0,0.0
98,99,39,22,0,2.0,0.0,0.0,0.0,0.0,0.0
167,77,34,30,0,5.0,5.0,3.0,0.0,0.0,0.0
213,125,58,49,0,6.0,2.0,6.0,0.0,0.0,0.0
101,77,34,35,0,1.0,0.0,7.0,0.0,0.0,0.0
175,103,50,36,0,6.0,5.0,4.0,0.0,0.0,0.0
155,95,45,43,0,5.0,0.0,8.0,0.0,0.0,0.0
160,98,49,19,0,1.0,0.0,6.0,0.0,0.0,0.0
98,80,36,19,0,0.0,1.0,0.0,0.0,0.0,0.0
142,97,51,33,0,7.0,2.0,5.0,0.0,0.0,0.0
217,119,88,24,0,7.0,9.0,5.0,0.0,0.0,0.0
143,81,45,29,0,5.0,0.0,7.0,0.0,0.0,0.0
132,83,44,19,0,6.0,1.0,1.0,0.0,0.0,0.0
144,88,34,38,0,2.0,5.0,2.0,0.0,0.0,0.0
146,151,38,56,0,4.0,4.0,1.0,0.0,0.0,0.0
174,83,55,25,0,8.0,2.0,10.0,0.0,0.0,0.0
146,82,41,21,0,4.0,0.0,4.0,0.0,0.0,0.0
105,73,39,25,0,1.0,1.0,4.0,0.0,0.0,0.0
205,128,52,24,0,8.0,2.0,10.0,0.0,0.0,0.0
135,87,50,52,0,3.0,1.0,1.0,0.0,0.0,0.0
158,117,54,38,0,1.0,1.0,7.0,0.0,0.0,0.0
144,93,41,26,0,8.0,0.0,7.0,0.0,0.0,0.0
231,115,92,27,0,12.0,7.0,0.0,0.0,0.0,0.0
138,80,39,20,0,3.0,1.0,6.0,0.0,0.0,0.0
111,81,27,32,0,8.0,2.0,2.0,0.0,0.0,0.0
192,167,57,47,0,2.0,1.0,3.0,0.0,0.0,0.0
152,84,60,26,0,8.0,0.0,4.0,0.0,0.0,0.0
150,76,35,22,0,9.0,2.0,4.0,0.0,0.0,0.0
111,83,35,34,0,3.0,1.0,1.0,0.0,0.0,0.0
120,65,38,20,0,6.0,3.0,5.0,0.0,0.0,0.0
94,66,20,20,0,5.0,3.0,2.0,0.0,0.0,0.0
126,72,36,16,0,1.0,0.0,2.0,0.0,0.0,0.0
154,119,41,45,0,4.0,0.0,3.0,0.0,0.0,0.0
93,91,31,38,0,3.0,0.0,3.0,1.0,0.0,0.0
207,143,47,46,0,10.0,0.0,11.0,1.0,0.0,0.0
141,103,25,29,0,5.0,0.0,3.0,1.0,0.0,0.0
249,132,63,36,0,7.0,6.0,10.0,0.0,0.0,0.0
172,128,33,46,0,1.0,0.0,5.0,0.0,0.0,0.0
189,145,35,47,0,6.0,1.0,7.0,0.0,0.0,0.0
221,103,50,13,0,13.0,1.0,6.0,0.0,0.0,0.0
134,81,35,27,0,2.0,4.0,3.0,0.0,0.0,0.0
148,142,47,32,0,7.0,1.0,3.0,0.0,0.0,0.0
174,110,36,25,0,6.0,0.0,4.0,0.0,0.0,0.0
240,141,91,43,0,3.0,3.0,2.0,0.0,0.0,0.0
112,102,26,23,0,3.0,3.0,0.0,0.0,0.0,0.0
292,164,67,42,0,13.0,12.0,9.0,0.0,0.0,0.0
298,161,89,38,0,14.0,1.0,12.0,0.0,0.0,0.0
124,88,68,12,0,7.0,2.0,0.0,0.0,0.0,0.0
117,78,18,27,0,3.0,2.0,0.0,0.0,0.0,0.0
172,108,46,45,0,7.0,1.0,8.0,0.0,0.0,0.0
144,99,39,40,0,0.0,1.0,2.0,0.0,0.0,0.0
138,112,59,46,0,2.0,2.0,3.0,0.0,0.0,0.0
98,90,22,17,0,0.0,2.0,2.0,0.0,0.0,0.0
125,87,24,41,0,1.0,2.0,5.0,0.0,0.0,0.0
115,99,34,41,0,1.0,2.0,2.0,0.0,0.0,0.0
393,227,104,88,0,15.0,5.0,18.0,0.0,0.0,0.0
142,77,32,17,0,4.0,0.0,8.0,0.0,0.0,0.0
206,151,63,38,0,8.0,2.0,7.0,0.0,0.0,0.0
151,125,50,24,0,10.0,0.0,4.0,0.0,0.0,0.0
169,134,48,55,0,5.0,3.0,3.0,0.0,0.0,0.0
93,80,30,26,0,2.0,1.0,4.0,0.0,0.0,0.0
120,76,38,33,0,3.0,1.0,1.0,0.0,0.0,0.0
258,123,45,29,0,11.0,3.0,9.0,1.0,0.0,0.0
188,154,61,55,0,1.0,5.0,1.0,0.0,0.0,0.0
190,146,59,74,0,4.0,0.0,3.0,0.0,0.0,0.0
132,108,43,50,0,0.0,4.0,1.0,0.0,0.0,0.0
155,89,37,28,0,3.0,2.0,0.0,0.0,0.0,0.0
165,135,37,22,0,6.0,4.0,8.0,0.0,0.0,0.0
146,101,45,35,0,2.0,1.0,7.0,0.0,0.0,0.0
273,168,93,73,0,14.0,4.0,6.0,0.0,0.0,0.0
115,91,51,41,0,2.0,2.0,4.0,0.0,0.0,0.0
177,146,64,67,0,4.0,0.0,1.0,0.0,0.0,0.0
284,159,93,66,0,8.0,10.0,10.0,0.0,0.0,0.0
112,125,39,58,0,3.0,0.0,2.0,0.0,0.0,0.0
96,95,27,49,0,0.0,1.0,1.0,0.0,0.0,0.0
174,83,43,16,0,9.0,2.0,9.0,0.0,0.0,0.0
100,81,51,28,0,0.0,1.0,1.0,0.0,0.0,0.0
120,79,25,26,0,1.0,2.0,1.0,0.0,0.0,0.0
125,128,47,44,0,2.0,0.0,2.0,0.0,0.0,0.0
169,142,55,37,0,3.0,1.0,9.0,0.0,0.0,0.0
145,100,41,39,0,2.0,5.0,2.0,0.0,0.0,0.0
133,54,25,14,0,7.0,5.0,2.0,0.0,0.0,0.0
121,84,38,30,0,6.0,0.0,7.0,1.0,0.0,0.0
154,114,56,50,0,5.0,0.0,8.0,0.0,0.0,0.0
80,80,25,29,0,0.0,0.0,5.0,0.0,0.0,0.0
121,90,55,43,0,4.0,7.0,3.0,0.0,0.0,0.0
117,108,43,39,0,0.0,0.0,0.0,0.0,0.0,0.0
108,91,35,43,0,0.0,4.0,2.0,0.0,1.0,0.0
155,97,38,33,0,0.0,1.0,7.0,0.0,0.0,0.0
165,107,51,23,0,4.0,0.0,7.0,0.0,0.0,0.0
104,90,40,44,0,5.0,5.0,6.0,0.0,0.0,0.0
148,120,36,48,0,1.0,4.0,4.0,0.0,0.0,0.0
148,88,37,21,0,1.0,0.0,8.0,1.0,0.0,0.0
129,109,38,38,0,0.0,4.0,4.0,0.0,0.0,0.0
186,125,52,57,0,1.0,0.0,6.0,0.0,0.0,0.0
172,135,33,45,0,8.0,2.0,0.0,0.0,0.0,0.0
194,129,38,39,0,4.0,2.0,6.0,0.0,0.0,0.0
137,106,46,38,0,5.0,1.0,6.0,0.0,1.0,0.0
115,88,46,28,0,5.0,1.0,2.0,0.0,0.0,0.0
97,98,29,48,0,1.0,0.0,2.0,0.0,0.0,0.0
147,83,38,40,0,1.0,4.0,4.0,0.0,0.0,0.0
264,138,65,46,0,4.0,7.0,0.0,0.0,0.0,0.0
158,90,47,25,0,6.0,4.0,5.0,0.0,0.0,0.0
149,83,54,24,0,2.0,2.0,2.0,0.0,0.0,0.0
205,121,61,40,0,2.0,3.0,8.0,0.0,0.0,0.0
144,111,45,35,0,3.0,2.0,5.0,0.0,0.0,0.0
149,122,38,36,0,3.0,5.0,3.0,0.0,0.0,0.0
135,92,50,31,0,2.0,2.0,5.0,0.0,0.0,0.0
132,84,37,23,0,3.0,3.0,9.0,0.0,0.0,0.0
228,165,65,32,0,8.0,1.0,5.0,0.0,0.0,0.0
260,126,46,34,0,19.0,3.0,8.0,0.0,0.0,0.0
143,90,45,27,0,5.0,4.0,2.0,0.0,0.0,0.0
135,79,45,21,0,8.0,4.0,3.0,0.0,0.0,0.0
104,92,34,25,0,2.0,0.0,4.0,0.0,0.0,0.0
133,128,49,29,0,2.0,2.0,5.0,0.0,0.0,0.0
160,133,36,50,0,5.0,1.0,3.0,0.0,0.0,0.0
185,106,58,22,0,1.0,0.0,0.0,0.0,0.0,0.0
129,103,48,19,0,0.0,2.0,4.0,0.0,0.0,0.0
155,116,38,41,0,4.0,0.0,3.0,0.0,0.0,0.0
123,102,45,40,0,3.0,0.0,3.0,0.0,0.0,0.0
145,129,46,51,0,0.0,0.0,7.0,0.0,0.0,0.0
182,129,68,71,0,2.0,4.0,5.0,0.0,1.0,0.0
86,69,24,29,0,1.0,0.0,3.0,0.0,0.0,0.0
131,125,35,17,0,3.0,1.0,0.0,0.0,0.0,0.0
104,107,42,25,0,0.0,2.0,0.0,0.0,0.0,0.0
102,79,27,27,0,0.0,3.0,1.0,0.0,0.0,0.0
89,64,32,13,0,1.0,4.0,1.0,0.0,0.0,0.0
138,100,30,39,0,4.0,2.0,8.0,0.0,0.0,0.0
90,68,28,22,0,5.0,0.0,1.0,0.0,0.0,0.0
152,83,86,29,0,5.0,4.0,2.0,0.0,0.0,0.0
137,123,29,44,0,3.0,1.0,2.0,0.0,0.0,0.0
118,87,33,23,0,6.0,3.0,3.0,0.0,0.0,0.0
162,76,34,17,0,2.0,6.0,4.0,0.0,0.0,0.0
98,94,33,42,0,2.0,0.0,0.0,1.0,0.0,0.0
150,103,36,35,0,4.0,2.0,4.0,0.0,0.0,0.0
173,102,35,41,0,3.0,0.0,5.0,0.0,0.0,0.0
133,82,36,33,0,5.0,4.0,1.0,0.0,0.0,0.0
